nta_code,year_month,temp_max_mean,temp_min_mean,precip_total,wind_max_mean
BX1103,2020-02,7.248275862068965,-0.8068965517241379,87.7,19.551724137931036
BX1103,2020-03,11.90967741935484,2.509677419354839,98.8,21.0258064516129
BX1103,2020-04,13.133333333333333,4.336666666666667,138.8,24.4
BX1103,2020-05,19.0,9.416129032258064,70.0,21.18064516129032
BX1103,2020-06,26.82,17.09333333333333,73.2,18.876666666666665
BX1103,2020-07,30.629032258064516,21.75483870967742,125.3,17.493548387096773
BX1103,2020-08,28.287096774193547,20.5,101.2,18.13225806451613
BX1103,2020-09,23.83,15.536666666666667,106.6,17.636666666666667
BX1103,2020-10,17.67096774193548,10.580645161290322,132.5,17.80322580645161
BX1103,2020-11,14.2,5.3133333333333335,114.3,20.27
BX1103,2020-12,6.261290322580645,-1.1838709677419355,133.7,22.02258064516129
BX1103,2021-01,4.129032258064516,-2.9387096774193546,52.9,21.112903225806452
BX1103,2021-02,2.882142857142857,-4.7749999999999995,147.70000000000002,19.75
BX1103,2021-03,11.05483870967742,0.332258064516129,90.4,22.406451612903226
BX1103,2021-04,15.82,4.883333333333334,87.8,20.746666666666666
BX1103,2021-05,20.651612903225807,10.429032258064517,115.5,19.69677419354839
BX1103,2021-06,26.9,17.279999999999998,59.9,17.743333333333332
BX1103,2021-07,27.641935483870967,20.061290322580643,200.29999999999998,15.738709677419354
BX1103,2021-08,28.19677419354839,20.73548387096774,148.3,16.629032258064516
BX1103,2021-09,24.31,16.883333333333333,233.4,19.826666666666664
BX1103,2021-10,20.116129032258065,12.82258064516129,194.5,19.606451612903225
BX1103,2021-11,11.056666666666667,3.06,40.9,18.73
BX1103,2021-12,8.77741935483871,1.9225806451612903,47.7,17.961290322580645
BX1103,2022-01,2.293548387096774,-6.129032258064516,114.8,21.56451612903226
BX1103,2022-02,6.485714285714286,-3.5357142857142856,94.1,22.974999999999998
BX1103,2022-03,10.938709677419356,0.8387096774193549,112.9,22.67096774193548
