nta_code,tree_count,total_dbh,mean_dbh,pct_good_health
QN0101,4913,59030,12.0150620801954,0.8216975371463464
QN0102,795,7835,9.855345911949685,0.7874213836477988
QN0103,2235,22931,10.259955257270693,0.8371364653243848
QN0104,2491,25248,10.135688478522681,0.8362103572862304
QN0105,1644,18249,11.10036496350365,0.8211678832116789
QN0201,1493,10719,7.179504353650368,0.7702612190221031
QN0202,3312,38410,11.597222222222221,0.7448671497584541
QN0203,3249,37951,11.68082486919052,0.8239458294859957
QN0301,5658,72839,12.873630258041711,0.791445740544362
QN0302,2925,36188,12.371965811965811,0.8372649572649573
QN0303,1709,17602,10.29959040374488,0.8250438853130486
QN0401,4000,48635,12.15875,0.78775
QN0402,2258,26519,11.744464127546502,0.7843224092116917
QN0501,4016,51775,12.892181274900398,0.7970617529880478
QN0502,5900,61680,10.454237288135593,0.6874576271186441
QN0503,4099,57734,14.084898755794097,0.7755550134179068
QN0504,4224,59201,14.015388257575758,0.8404356060606061
QN0601,2283,29406,12.88042049934297,0.8155935173017959
QN0602,7328,96309,13.142603711790393,0.8137281659388647
QN0701,4707,51410,10.922031017633312,0.763756107924368
QN0702,5843,75827,12.977408865308917,0.9055279822009242
QN0703,2788,38731,13.892037302725969,0.8023672883787661
QN0704,7236,106885,14.771282476506357,0.8920674405749033
QN0705,3175,44038,13.87023622047244,0.8674015748031496
QN0706,2701,35807,13.25694187338023,0.8178452425027768
QN0707,2329,28050,12.043795620437956,0.7445255474452555
QN0801,4165,58031,13.933013205282112,0.8612244897959184
QN0802,4640,65796,14.180172413793104,0.8301724137931035
QN0803,3438,52629,15.308027923211169,0.8295520651541594
QN0804,3591,54110,15.0682261208577,0.8476747424115845
QN0805,2945,40704,13.821392190152801,0.865195246179966
QN0901,1931,31254,16.18539616778871,0.7322630761263594
QN0902,2995,38306,12.789983305509182,0.8567612687813022
QN0903,1401,20463,14.605995717344754,0.7330478229835832
QN0904,1615,25410,15.73374613003096,0.8291021671826625
QN0905,2664,42384,15.90990990990991,0.8569819819819819
