nta_code,NTAName,borough,year_month,date,borough_count,n_ntas,estimated_count
BK0201,Brooklyn Heights,Brooklyn,2022-08,2022-08-01,1308.0,53,28.64251966968218
BK0201,Brooklyn Heights,Brooklyn,2022-09,2022-09-01,1827.0,53,40.007556144120294
BK0201,Brooklyn Heights,Brooklyn,2022-10,2022-10-01,2066.0,53,45.24116638957445
BK0201,Brooklyn Heights,Brooklyn,2022-11,2022-11-01,1706.0,53,37.35790409516651
BK0201,Brooklyn Heights,Brooklyn,2022-12,2022-12-01,1329.0,53,29.102376636855976
BK0201,Brooklyn Heights,Brooklyn,2023-01,2023-01-01,1378.0,53,30.175376226928165
BK0201,Brooklyn Heights,Brooklyn,2023-02,2023-02-01,1594.0,53,34.90533360357293
BK0201,Brooklyn Heights,Brooklyn,2023-03,2023-03-01,1633.0,53,35.759353685467126
BK0201,Brooklyn Heights,Brooklyn,2023-04,2023-04-01,1914.0,53,41.912677865268876
BK0201,Brooklyn Heights,Brooklyn,2023-05,2023-05-01,1931.0,53,42.28494302917147
BK0201,Brooklyn Heights,Brooklyn,2023-06,2023-06-01,1760.0,53,38.5403934393277
BK0201,Brooklyn Heights,Brooklyn,2023-07,2023-07-01,1442.0,53,31.576845079267358
BK0201,Brooklyn Heights,Brooklyn,2023-08,2023-08-01,1449.0,53,31.730130734991956
BK0201,Brooklyn Heights,Brooklyn,2023-09,2023-09-01,1753.0,53,38.387107783603106
BK0201,Brooklyn Heights,Brooklyn,2023-10,2023-10-01,2030.0,53,44.452840160133654
BK0201,Brooklyn Heights,Brooklyn,2023-11,2023-11-01,1857.0,53,40.664494668654285
BK0201,Brooklyn Heights,Brooklyn,2023-12,2023-12-01,1815.0,53,39.744780734306694
BK0201,Brooklyn Heights,Brooklyn,2024-01,2024-01-01,1689.0,53,36.985638931263914
BK0201,Brooklyn Heights,Brooklyn,2024-02,2024-02-01,1461.0,53,31.992906144805552
BK0201,Brooklyn Heights,Brooklyn,2024-03,2024-03-01,1538.0,53,33.67904835777614
BK0201,Brooklyn Heights,Brooklyn,2024-04,2024-04-01,1636.0,53,35.825047537920526
BK0201,Brooklyn Heights,Brooklyn,2024-05,2024-05-01,1928.0,53,42.21924917671807
BK0201,Brooklyn Heights,Brooklyn,2024-06,2024-06-01,1406.0,53,30.788518849826563
BK0201,Brooklyn Heights,Brooklyn,2024-07,2024-07-01,1334.0,53,29.211866390944973
BK0201,Brooklyn Heights,Brooklyn,2024-08,2024-08-01,1423.0,53,31.16078401372916
BK0201,Brooklyn Heights,Brooklyn,2024-09,2024-09-01,1775.0,53,38.8688627015947
BK0201,Brooklyn Heights,Brooklyn,2024-10,2024-10-01,1834.0,53,40.16084179984489
BK0201,Brooklyn Heights,Brooklyn,2024-11,2024-11-01,1657.0,53,36.28490450509432
BK0201,Brooklyn Heights,Brooklyn,2024-12,2024-12-01,1715.0,53,37.55498565252671
BK0201,Brooklyn Heights,Brooklyn,2025-01,2025-01-01,1489.0,53,32.606048767703946
BK0201,Brooklyn Heights,Brooklyn,2025-02,2025-02-01,1240.0,53,27.15345901407179
BK0201,Brooklyn Heights,Brooklyn,2025-03,2025-03-01,1558.0,53,34.117007374132136
BK0201,Brooklyn Heights,Brooklyn,2025-04,2025-04-01,1784.0,53,39.0659442589549
BK0201,Brooklyn Heights,Brooklyn,2025-05,2025-05-01,1973.0,53,43.204656963519064
BK0201,Brooklyn Heights,Brooklyn,2025-06,2025-06-01,1433.0,53,31.379763521907158
BK0201,Brooklyn Heights,Brooklyn,2025-07,2025-07-01,1376.0,53,30.131580325292568
BK0201,Brooklyn Heights,Brooklyn,2025-08,2025-08-01,1437.0,53,31.467355325178357
BK0201,Brooklyn Heights,Brooklyn,2025-09,2025-09-01,1716.0,53,37.57688360334451
BK0201,Brooklyn Heights,Brooklyn,2025-10,2025-10-01,1699.0,53,37.204618439441916
BK0201,Brooklyn Heights,Brooklyn,2025-11,2025-11-01,50.0,53,1.0948975408899915
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2022-03,2022-03-01,1642.0,53,35.71981829638009
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2022-04,2022-04-01,1540.0,53,33.5009258078108
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2022-05,2022-05-01,2155.0,53,46.87954228300797
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2022-06,2022-06-01,1508.0,53,32.804802674142
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2022-07,2022-07-01,1377.0,53,29.955048595685373
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2022-08,2022-08-01,1308.0,53,28.45403308871203
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2022-09,2022-09-01,1827.0,53,39.74428016290281
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2022-10,2022-10-01,2066.0,53,44.94344981749163
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2022-11,2022-11-01,1706.0,53,37.11206456371768
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2022-12,2022-12-01,1329.0,53,28.910863895182178
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2023-01,2023-01-01,1378.0,53,29.97680244361252
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2023-02,2023-02-01,1594.0,53,34.675633595876896
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2023-03,2023-03-01,1633.0,53,35.52403366503574
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2023-04,2023-04-01,1914.0,53,41.636864932564855
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2023-05,2023-05-01,1931.0,53,42.0066803473264
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2023-06,2023-06-01,1760.0,53,38.286772351783775
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2023-07,2023-07-01,1442.0,53,31.369048710950114
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2023-08,2023-08-01,1449.0,53,31.52132564644016
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2023-09,2023-09-01,1753.0,53,38.134495416293724
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2023-10,2023-10-01,2030.0,53,44.16031129211424
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2023-11,2023-11-01,1857.0,53,40.39689560071731
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2023-12,2023-12-01,1815.0,53,39.48323398777701
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2024-01,2024-01-01,1689.0,53,36.742249148956134
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2024-02,2024-02-01,1461.0,53,31.78237182156596
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2024-03,2024-03-01,1538.0,53,33.4574181119565
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2024-04,2024-04-01,1636.0,53,35.58929520881719
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2024-05,2024-05-01,1928.0,53,41.94141880354495
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2024-06,2024-06-01,1406.0,53,30.58591018557272
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2024-07,2024-07-01,1334.0,53,29.019633134817926
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2024-08,2024-08-01,1423.0,53,30.955725600334265
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2024-09,2024-09-01,1775.0,53,38.61308007069102
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2024-10,2024-10-01,1834.0,53,39.89655709839286
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2024-11,2024-11-01,1657.0,53,36.046126015287335
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2024-12,2024-12-01,1715.0,53,37.307849195062026
BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,2025-01,2025-01-01,1489.0,53,32.391479563526154
