nta_code,time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
BK0101,2023-02-27,4.9,-2.3,3.4,21.1
BK0101,2023-02-28,2.1,-0.2,13.3,23.1
BK0101,2023-03-01,5.8,-2.8,3.0,19.4
BK0101,2023-03-02,13.6,2.5,1.2,24.3
BK0101,2023-03-03,7.5,-1.5,2.5,30.9
BK0101,2023-03-04,7.8,2.9,43.1,40.1
BK0101,2023-03-05,12.1,-0.7,0.2,30.0
BK0101,2023-03-06,10.3,1.0,0.0,24.5
BK0101,2023-03-07,7.4,0.9,2.3,36.3
BK0101,2023-03-08,8.4,-2.3,0.0,34.9
BK0101,2023-03-09,10.7,-0.9,0.0,23.0
BK0101,2023-03-10,7.7,-1.5,6.6,16.1
BK0101,2023-03-11,7.1,1.8,14.8,26.2
BK0101,2023-03-12,8.0,-1.2,0.0,17.7
BK0101,2023-03-13,6.4,3.8,15.1,23.6
BK0101,2023-03-14,3.8,1.0,22.6,44.8
BK0101,2023-03-15,6.9,0.8,0.0,37.9
BK0101,2023-03-16,13.2,-1.7,0.0,19.5
BK0101,2023-03-17,13.5,2.5,0.0,22.2
BK0101,2023-03-18,10.9,2.8,1.0,24.1
BK0101,2023-03-19,3.8,-2.7,0.0,27.8
BK0101,2023-03-20,8.6,-3.1,0.0,19.4
BK0101,2023-03-21,14.8,-0.9,0.0,20.9
BK0101,2023-03-22,12.4,1.6,0.0,23.1
BK0101,2023-03-23,14.7,5.6,2.6,23.6
BK0101,2023-03-24,13.0,5.7,0.2,18.9
BK0101,2023-03-25,8.1,3.5,10.0,32.8
BK0101,2023-03-26,14.9,3.0,0.0,24.8
BK0101,2023-03-27,14.9,2.0,2.4,23.4
BK0101,2023-03-28,10.8,3.0,0.9,21.0
BK0101,2023-03-29,10.2,0.3,0.0,22.8
BK0101,2023-03-30,7.4,-1.5,0.0,28.0
BK0101,2023-03-31,10.4,0.9,0.0,29.1
BK0101,2023-04-01,19.5,10.6,10.5,27.6
BK0101,2023-04-02,10.5,2.6,0.2,33.8
BK0101,2023-04-03,11.6,-0.6,0.0,35.5
BK0101,2023-04-04,18.3,5.9,0.0,19.2
BK0101,2023-04-05,13.6,9.9,0.1,20.4
BK0101,2023-04-06,25.6,10.8,3.9,16.4
BK0101,2023-04-07,14.0,6.4,0.4,22.2
BK0101,2023-04-08,10.1,1.5,0.0,19.2
BK0101,2023-04-09,11.7,2.0,0.0,23.2
BK0101,2023-04-10,16.5,2.0,0.0,19.4
BK0101,2023-04-11,23.1,5.7,0.0,27.9
BK0101,2023-04-12,28.0,14.7,0.0,27.4
BK0101,2023-04-13,31.0,11.4,0.0,17.6
BK0101,2023-04-14,29.4,13.6,0.0,16.9
BK0101,2023-04-15,20.0,14.4,22.0,19.5
BK0101,2023-04-16,20.5,12.2,0.0,17.7
BK0101,2023-04-17,20.0,11.6,0.4,26.8
BK0101,2023-04-18,14.7,7.1,0.1,40.0
BK0101,2023-04-19,17.6,4.2,0.0,26.5
BK0101,2023-04-20,15.7,5.5,0.0,16.0
BK0101,2023-04-21,19.4,7.7,0.0,23.2
BK0101,2023-04-22,19.8,10.0,7.1,27.1
BK0101,2023-04-23,18.9,11.1,20.5,20.5
BK0101,2023-04-24,15.8,6.2,0.0,19.2
BK0101,2023-04-25,14.9,5.4,0.3,12.7
BK0101,2023-04-26,13.9,5.6,0.3,21.1
BK0101,2023-04-27,13.2,7.8,0.9,16.5
BK0101,2023-04-28,13.1,6.7,3.3,22.5
BK0101,2023-04-29,12.8,9.0,45.5,30.9
BK0101,2023-04-30,15.3,10.6,26.0,27.9
BK0101,2023-05-01,15.9,7.8,0.9,38.2
